timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/06/14 00:29:06.988, 0, 0 %, 0 %, 0 MiB
2026/06/14 00:29:11.991, 0, 0 %, 0 %, 0 MiB
2026/06/14 00:29:16.993, 0, 0 %, 0 %, 0 MiB
2026/06/14 00:29:21.994, 0, 0 %, 0 %, 3 MiB
2026/06/14 00:29:26.996, 0, 0 %, 0 %, 3 MiB
2026/06/14 00:29:31.998, 0, 2 %, 0 %, 621 MiB
2026/06/14 00:29:37.000, 0, 2 %, 0 %, 13865 MiB
2026/06/14 00:29:42.002, 0, 1 %, 0 %, 13869 MiB
2026/06/14 00:29:47.004, 0, 1 %, 0 %, 13869 MiB
2026/06/14 00:29:52.005, 0, 0 %, 0 %, 13869 MiB
2026/06/14 00:29:57.008, 0, 0 %, 0 %, 13869 MiB
